Latitude,Longitude,State,Month,Pollutant,Concentration,Concentration_Scaled,Concentration_Standardize
32.83472,-86.63333,Alabama,2024-01,CO,0.184293811827957,0.2973707807917821,-0.6408988505094321
32.83472,-86.63333,Alabama,2024-02,CO,0.234664540229885,0.3786474264119574,-0.1164564377015456
32.83472,-86.63333,Alabama,2024-03,CO,0.1694217934782608,0.2733737530851362,-0.7957411058050553
32.83472,-86.63333,Alabama,2024-04,CO,0.1190214222222222,0.1920492766746358,-1.3204921496457955
32.83472,-86.63333,Alabama,2024-05,CO,0.1093995376344086,0.1765237020273567,-1.4206718478373117
32.83472,-86.63333,Alabama,2024-06,CO,0.0917908662790697,0.1481108958799032,-1.60400717740109
32.83472,-86.63333,Alabama,2024-07,CO,0.1476505215053763,0.2382443036413823,-1.022415977612532
32.83472,-86.63333,Alabama,2024-08,CO,0.1807880860215054,0.2917140503244585,-0.6773992418857058
32.83472,-86.63333,Alabama,2024-09,CO,0.1799382555555555,0.2903427902333379,-0.6862473795676566
32.83472,-86.63333,Alabama,2024-10,CO,0.238398277173913,0.384672068581458,-0.0775820740812445
32.83472,-86.63333,Alabama,2024-11,CO,0.1863865898876404,0.3007476225829374,-0.6191095770581124
32.83472,-86.63333,Alabama,2024-12,CO,0.2381317311827956,0.3842419782343687,-0.0803572577472509
64.73167,-152.47,Alaska,2024-01,CO,0.561655761904762,0.9062703234427631,3.2880618351691524
64.73167,-152.47,Alaska,2024-02,CO,0.5129652307692308,0.8277047920376388,2.7811130488451083
64.73167,-152.47,Alaska,2024-03,CO,0.3591439435483871,0.5795035321604999,1.1795795874344834
64.73167,-152.47,Alaska,2024-04,CO,0.2299622173913043,0.3710599040737187,-0.1654153790054897
64.73167,-152.47,Alaska,2024-05,CO,0.1648666451612903,0.2660237069918663,-0.8431677174471923
64.73167,-152.47,Alaska,2024-06,CO,0.2374752678571428,0.3831827293655419,-0.0871921243721312
64.73167,-152.47,Alaska,2024-07,CO,0.1517090083333333,0.244792952154819,-0.9801604317443224
64.73167,-152.47,Alaska,2024-08,CO,0.1685554322033898,0.2719758193932733,-0.804761356489762
64.73167,-152.47,Alaska,2024-09,CO,0.23071475,0.3722741673590645,-0.1575802725946425
64.73167,-152.47,Alaska,2024-10,CO,0.3137228333333333,0.5062134369852522,0.7066708686341417
64.73167,-152.47,Alaska,2024-11,CO,0.5412879083333333,0.8734053864190361,3.075998865075019
64.73167,-152.47,Alaska,2024-12,CO,0.5978618870967741,0.96469140449265,3.665027351780512
34.56667,-111.85611,Arizona,2024-01,CO,0.4295496057692307,0.6931079258138233,1.9126187262733605
34.56667,-111.85611,Arizona,2024-02,CO,0.2863791206349206,0.4620924699586228,0.4219776923065129
34.56667,-111.85611,Arizona,2024-03,CO,0.2326658206349206,0.3754223544432184,-0.1372664073042367
34.56667,-111.85611,Arizona,2024-04,CO,0.2333568637820513,0.3765374002398451,-0.1300715076684056
34.56667,-111.85611,Arizona,2024-05,CO,0.2207326213114754,0.3561673140001374,-0.2615107064092206
34.56667,-111.85611,Arizona,2024-06,CO,0.2099861153238546,0.3388270851306753,-0.3733995694097906
34.56667,-111.85611,Arizona,2024-07,CO,0.2217949008875739,0.3578813753884735,-0.2504506228718082
34.56667,-111.85611,Arizona,2024-08,CO,0.2339015542521994,0.377416295894513,-0.1244003809354636
34.56667,-111.85611,Arizona,2024-09,CO,0.2868816426174496,0.4629033238490897,0.4272097754898963
34.56667,-111.85611,Arizona,2024-10,CO,0.3942512077702703,0.6361515252188381,1.5451041478238798
34.56667,-111.85611,Arizona,2024-11,CO,0.4989248019169329,0.8050495913608142,2.6349290126445366
34.56667,-111.85611,Arizona,2024-12,CO,0.619744183800623,1.0,3.892858174268783
34.6358,-92.4783,Arkansas,2024-01,CO,0.0,0.0,-2.559701583902442
34.6358,-92.4783,Arkansas,2024-02,CO,0.0,0.0,-2.559701583902442
34.6358,-92.4783,Arkansas,2024-03,CO,0.0,0.0,-2.559701583902442
34.6358,-92.4783,Arkansas,2024-04,CO,0.00069445,0.0011205429887881,-2.552471213305687
34.6358,-92.4783,Arkansas,2024-05,CO,0.0525537741935483,0.0847991406248603,-2.012530061578966
34.6358,-92.4783,Arkansas,2024-06,CO,0.3348136666666666,0.5402449517370203,0.9262612512310106
34.6358,-92.4783,Arkansas,2024-07,CO,0.2854405483870967,0.4605780188796824,0.4122056062188231
34.6358,-92.4783,Arkansas,2024-08,CO,0.3178501129032258,0.512873087334178,0.7496426604791109
34.6358,-92.4783,Arkansas,2024-09,CO,0.2643002666666666,0.4264667157436273,0.1921003843043341
34.6358,-92.4783,Arkansas,2024-10,CO,0.3485520322580645,0.5624127525014364,1.069300310370639
34.6358,-92.4783,Arkansas,2024-11,CO,0.3401932499999999,0.5489252806113352,0.9822715920131068
34.6358,-92.4783,Arkansas,2024-12,CO,0.4808220322580645,0.7758395235101537,2.446449304297914
37.16611,-119.44944,California,2024-01,CO,0.4057595574105622,0.6547210413855187,1.6649250605697126
37.16611,-119.44944,California,2024-02,CO,0.3477839903165736,0.5611734638375544,1.0613037262093163
37.16611,-119.44944,California,2024-03,CO,0.2598042865554465,0.4192121416326639,0.1452898113332613
37.16611,-119.44944,California,2024-04,CO,0.2609571404580152,0.4210723509459628,0.1572929230900287
37.16611,-119.44944,California,2024-05,CO,0.2229202884990253,0.3596972659460095,-0.2387334805350084
37.16611,-119.44944,California,2024-06,CO,0.2256160332836562,0.3640470361497395,-0.2106663283611279
37.16611,-119.44944,California,2024-07,CO,0.2523433897237033,0.4071734698278093,0.0676095621034256
37.16611,-119.44944,California,2024-08,CO,0.2649963079501916,0.427589826378174,0.1993473227887845
37.16611,-119.44944,California,2024-09,CO,0.3085364177978884,0.497844797680501,0.6526717234256535
37.16611,-119.44944,California,2024-10,CO,0.3698262515513126,0.5967401731522968,1.2908000434641966
37.16611,-119.44944,California,2024-11,CO,0.3932920925373134,0.6346039266160162,1.5351181753575087
37.16611,-119.44944,California,2024-12,CO,0.4977139131693198,0.8030957388209046,2.622321662372115
39.0,-105.54517,Colorado,2024-01,CO,0.3905902870967742,0.6302443771258214,1.5069879217533215
39.0,-105.54517,Colorado,2024-02,CO,0.3159328310344827,0.5097794207555177,0.7296805920084484
39.0,-105.54517,Colorado,2024-03,CO,0.2623947677419355,0.4233920617580981,0.1722609957270076
39.0,-105.54517,Colorado,2024-04,CO,0.2274916767676767,0.3670735163217969,-0.1911377841940071
39.0,-105.54517,Colorado,2024-05,CO,0.2042368677419354,0.3295502774861702,-0.4332587251010196
39.0,-105.54517,Colorado,2024-06,CO,0.2053953666666666,0.3314195954322083,-0.4211968393471871
39.0,-105.54517,Colorado,2024-07,CO,0.236359764516129,0.3813827877603252,-0.0988063551410104
39.0,-105.54517,Colorado,2024-08,CO,0.2280889283387622,0.3680372229392964,-0.1849194096552463
39.0,-105.54517,Colorado,2024-09,CO,0.2512454466666666,0.4054018629523668,0.0561781628716457
39.0,-105.54517,Colorado,2024-10,CO,0.3106029612903225,0.5011793081873377,0.6741878517352673
39.0,-105.54517,Colorado,2024-11,CO,0.3671460927835051,0.5924155520620732,1.2628951674480815
39.0,-105.54517,Colorado,2024-12,CO,0.3872238118811881,0.6248123370944959,1.471937358842416
41.66704,-72.66699,Connecticut,2024-01,CO,0.2319808116883117,0.3743170452454651,-0.1443984809539959
41.66704,-72.66699,Connecticut,2024-02,CO,0.2392543819444444,0.3860534526959184,-0.0686686105337003
