"siteid","sitename","itemid","itemname","itemengname","itemunit","monitormonth","concentration"
1,"基隆",1,"二氧化硫","SO2","ppb",202301,"1.2"
1,"基隆",2,"一氧化碳","CO","ppm",202301,"0.34"
1,"基隆",3,"臭氧","O3","ppb",202301,"33.2"
1,"基隆",4,"懸浮微粒","PM10","μg/m3",202301,"27"
1,"基隆",5,"氮氧化物","NOx","ppb",202301,"11.1"
1,"基隆",6,"一氧化氮","NO","ppb",202301,"2.2"
1,"基隆",7,"二氧化氮","NO2","ppb",202301,"8.8"
1,"基隆",10,"風速","WIND_SPEED","m/sec",202301,"0.9"
1,"基隆",14,"溫度","AMB_TEMP","℃",202301,"16.3"
1,"基隆",33,"細懸浮微粒","PM2.5","μg/m3",202301,"14"
1,"基隆",38,"相對濕度","RH","%",202301,"84"
2,"汐止",1,"二氧化硫","SO2","ppb",202301,"1"
2,"汐止",2,"一氧化碳","CO","ppm",202301,"0.33"
2,"汐止",3,"臭氧","O3","ppb",202301,"26.7"
2,"汐止",4,"懸浮微粒","PM10","μg/m3",202301,"24"
2,"汐止",5,"氮氧化物","NOx","ppb",202301,"19"
2,"汐止",6,"一氧化氮","NO","ppb",202301,"4.9"
2,"汐止",7,"二氧化氮","NO2","ppb",202301,"14"
2,"汐止",10,"風速","WIND_SPEED","m/sec",202301,"1.2"
2,"汐止",14,"溫度","AMB_TEMP","℃",202301,"16.7"
2,"汐止",33,"細懸浮微粒","PM2.5","μg/m3",202301,"13"
2,"汐止",38,"相對濕度","RH","%",202301,"80"
3,"萬里",1,"二氧化硫","SO2","ppb",202301,"0.7"
3,"萬里",2,"一氧化碳","CO","ppm",202301,"0.24"
3,"萬里",3,"臭氧","O3","ppb",202301,"38.6"
3,"萬里",4,"懸浮微粒","PM10","μg/m3",202301,"43"
3,"萬里",5,"氮氧化物","NOx","ppb",202301,"5.5"
3,"萬里",6,"一氧化氮","NO","ppb",202301,"1"
3,"萬里",7,"二氧化氮","NO2","ppb",202301,"4.5"
3,"萬里",10,"風速","WIND_SPEED","m/sec",202301,"4"
3,"萬里",14,"溫度","AMB_TEMP","℃",202301,"16.6"
3,"萬里",33,"細懸浮微粒","PM2.5","μg/m3",202301,"15"
3,"萬里",38,"相對濕度","RH","%",202301,"79"
4,"新店",1,"二氧化硫","SO2","ppb",202301,"0.9"
4,"新店",2,"一氧化碳","CO","ppm",202301,"0.33"
4,"新店",3,"臭氧","O3","ppb",202301,"30.7"
4,"新店",4,"懸浮微粒","PM10","μg/m3",202301,"22"
4,"新店",5,"氮氧化物","NOx","ppb",202301,"13.3"
4,"新店",6,"一氧化氮","NO","ppb",202301,"2"
4,"新店",7,"二氧化氮","NO2","ppb",202301,"11.2"
4,"新店",10,"風速","WIND_SPEED","m/sec",202301,"1.6"
4,"新店",14,"溫度","AMB_TEMP","℃",202301,"17.4"
4,"新店",33,"細懸浮微粒","PM2.5","μg/m3",202301,"11"
4,"新店",38,"相對濕度","RH","%",202301,"79"
5,"土城",1,"二氧化硫","SO2","ppb",202301,"1.1"
5,"土城",2,"一氧化碳","CO","ppm",202301,"0.38"
5,"土城",3,"臭氧","O3","ppb",202301,"29.7"
5,"土城",4,"懸浮微粒","PM10","μg/m3",202301,"25"
5,"土城",5,"氮氧化物","NOx","ppb",202301,"16.7"
5,"土城",6,"一氧化氮","NO","ppb",202301,"3.5"
5,"土城",7,"二氧化氮","NO2","ppb",202301,"13.1"
5,"土城",10,"風速","WIND_SPEED","m/sec",202301,"1.5"
5,"土城",14,"溫度","AMB_TEMP","℃",202301,"17.3"
5,"土城",33,"細懸浮微粒","PM2.5","μg/m3",202301,"11"
5,"土城",38,"相對濕度","RH","%",202301,"84"
6,"板橋",1,"二氧化硫","SO2","ppb",202301,"1"
6,"板橋",2,"一氧化碳","CO","ppm",202301,"0.41"
6,"板橋",3,"臭氧","O3","ppb",202301,"28"
6,"板橋",4,"懸浮微粒","PM10","μg/m3",202301,"24"
6,"板橋",5,"氮氧化物","NOx","ppb",202301,"17.7"
6,"板橋",6,"一氧化氮","NO","ppb",202301,"2.9"
6,"板橋",7,"二氧化氮","NO2","ppb",202301,"14.6"
6,"板橋",10,"風速","WIND_SPEED","m/sec",202301,"1.7"
6,"板橋",14,"溫度","AMB_TEMP","℃",202301,"17.2"
6,"板橋",33,"細懸浮微粒","PM2.5","μg/m3",202301,"15"
6,"板橋",38,"相對濕度","RH","%",202301,"76"
