sitename,itemname,itemengname,itemunit,monitormonth,concentration
基隆,二氧化硫,SO2,ppb,2023-01,1.2
基隆,一氧化碳,CO,ppm,2023-01,0.34
基隆,臭氧,O3,ppb,2023-01,33.2
基隆,懸浮微粒,PM10,μg/m3,2023-01,27
基隆,氮氧化物,NOx,ppb,2023-01,11.1
基隆,一氧化氮,NO,ppb,2023-01,2.2
基隆,二氧化氮,NO2,ppb,2023-01,8.8
基隆,風速,WIND_SPEED,m/sec,2023-01,0.9
基隆,溫度,AMB_TEMP,℃,2023-01,16.3
基隆,細懸浮微粒,PM2.5,μg/m3,2023-01,14
基隆,相對濕度,RH,%,2023-01,84
汐止,二氧化硫,SO2,ppb,2023-01,1
汐止,一氧化碳,CO,ppm,2023-01,0.33
汐止,臭氧,O3,ppb,2023-01,26.7
汐止,懸浮微粒,PM10,μg/m3,2023-01,24
汐止,氮氧化物,NOx,ppb,2023-01,19
汐止,一氧化氮,NO,ppb,2023-01,4.9
汐止,二氧化氮,NO2,ppb,2023-01,14
汐止,風速,WIND_SPEED,m/sec,2023-01,1.2
汐止,溫度,AMB_TEMP,℃,2023-01,16.7
汐止,細懸浮微粒,PM2.5,μg/m3,2023-01,13
汐止,相對濕度,RH,%,2023-01,80
萬里,二氧化硫,SO2,ppb,2023-01,0.7
萬里,一氧化碳,CO,ppm,2023-01,0.24
萬里,臭氧,O3,ppb,2023-01,38.6
萬里,懸浮微粒,PM10,μg/m3,2023-01,43
萬里,氮氧化物,NOx,ppb,2023-01,5.5
萬里,一氧化氮,NO,ppb,2023-01,1
萬里,二氧化氮,NO2,ppb,2023-01,4.5
萬里,風速,WIND_SPEED,m/sec,2023-01,4
萬里,溫度,AMB_TEMP,℃,2023-01,16.6
萬里,細懸浮微粒,PM2.5,μg/m3,2023-01,15
萬里,相對濕度,RH,%,2023-01,79
新店,二氧化硫,SO2,ppb,2023-01,0.9
新店,一氧化碳,CO,ppm,2023-01,0.33
新店,臭氧,O3,ppb,2023-01,30.7
新店,懸浮微粒,PM10,μg/m3,2023-01,22
新店,氮氧化物,NOx,ppb,2023-01,13.3
新店,一氧化氮,NO,ppb,2023-01,2
新店,二氧化氮,NO2,ppb,2023-01,11.2
新店,風速,WIND_SPEED,m/sec,2023-01,1.6
新店,溫度,AMB_TEMP,℃,2023-01,17.4
新店,細懸浮微粒,PM2.5,μg/m3,2023-01,11
新店,相對濕度,RH,%,2023-01,79
土城,二氧化硫,SO2,ppb,2023-01,1.1
土城,一氧化碳,CO,ppm,2023-01,0.38
土城,臭氧,O3,ppb,2023-01,29.7
土城,懸浮微粒,PM10,μg/m3,2023-01,25
