Squad,Pos,stat,total_value
Arsenal,DF,Aer.lost,118
Arsenal,DF,Ass,5
Arsenal,DF,Blocks,119
Arsenal,DF,Cha.lost,68
Arsenal,DF,Clr,245
Arsenal,DF,Cmp.,86.02
Arsenal,DF,Dist,14.85714286
Arsenal,DF,Err,7
Arsenal,DF,FK,0
Arsenal,DF,G.Sh,0.98
Arsenal,DF,Gls,11
Arsenal,DF,Int,107
Arsenal,DF,PK,0
Arsenal,DF,PenS,0
Arsenal,DF,Rcd,1
Arsenal,DF,Saves,0
Arsenal,DF,Sh,77
Arsenal,DF,SoT,24
Arsenal,DF,Tkl,179
Arsenal,DF,TklW,105
Arsenal,DF,xG,8.2
Aston Villa,DF,Aer.lost,107
Aston Villa,DF,Ass,5
Aston Villa,DF,Blocks,143
Aston Villa,DF,Cha.lost,77
Aston Villa,DF,Clr,353
Aston Villa,DF,Cmp.,87.06666667
Aston Villa,DF,Dist,13.34285714
Aston Villa,DF,Err,6
Aston Villa,DF,FK,5
Aston Villa,DF,G.Sh,0.61
Aston Villa,DF,Gls,8
Aston Villa,DF,Int,100
Aston Villa,DF,PK,0
Aston Villa,DF,PenS,0
Aston Villa,DF,Rcd,0
Aston Villa,DF,Saves,0
Aston Villa,DF,Sh,99
Aston Villa,DF,SoT,34
Aston Villa,DF,Tkl,211
Aston Villa,DF,TklW,116
Aston Villa,DF,xG,11.3
Bournemouth,DF,Aer.lost,203
Bournemouth,DF,Ass,6
Bournemouth,DF,Blocks,209
Bournemouth,DF,Cha.lost,121
Bournemouth,DF,Clr,506
Bournemouth,DF,Cmp.,76.1125
Bournemouth,DF,Dist,12.18
Bournemouth,DF,Err,8
Bournemouth,DF,FK,0
Bournemouth,DF,G.Sh,0.56
Bournemouth,DF,Gls,4
Bournemouth,DF,Int,140
Bournemouth,DF,PK,0
Bournemouth,DF,PenS,0
Bournemouth,DF,Rcd,0
Bournemouth,DF,Saves,0
Bournemouth,DF,Sh,28
Bournemouth,DF,SoT,10
Bournemouth,DF,Tkl,266
Bournemouth,DF,TklW,164
Bournemouth,DF,xG,2.9
Brentford,DF,Aer.lost,201
Brentford,DF,Ass,4
Brentford,DF,Blocks,179
Brentford,DF,Cha.lost,83
Brentford,DF,Clr,552
Brentford,DF,Cmp.,73.07272727
Brentford,DF,Dist,14.75
Brentford,DF,Err,11
Brentford,DF,FK,0
Brentford,DF,G.Sh,1.06
Brentford,DF,Gls,11
Brentford,DF,Int,158
Brentford,DF,PK,0
Brentford,DF,PenS,0
Brentford,DF,Rcd,1
Brentford,DF,Saves,0
Brentford,DF,Sh,117
Brentford,DF,SoT,31
Brentford,DF,Tkl,241
Brentford,DF,TklW,144
Brentford,DF,xG,13
Brighton,DF,Aer.lost,122
Brighton,DF,Ass,6
Brighton,DF,Blocks,158
Brighton,DF,Cha.lost,87
Brighton,DF,Clr,301
Brighton,DF,Cmp.,87.3625
Brighton,DF,Dist,14.85
Brighton,DF,Err,7
Brighton,DF,FK,4
Brighton,DF,G.Sh,0.49
Brighton,DF,Gls,8
Brighton,DF,Int,120
Brighton,DF,PK,0
Brighton,DF,PenS,0
Brighton,DF,Rcd,1
Brighton,DF,Saves,0
Brighton,DF,Sh,79
Brighton,DF,SoT,34
Brighton,DF,Tkl,169
Brighton,DF,TklW,103
Brighton,DF,xG,7.6
Burnley,DF,Aer.lost,218
Burnley,DF,Ass,5
Burnley,DF,Blocks,196
Burnley,DF,Cha.lost,120
Burnley,DF,Clr,504
Burnley,DF,Cmp.,80.7
Burnley,DF,Dist,16.41666667
Burnley,DF,Err,12
Burnley,DF,FK,0
Burnley,DF,G.Sh,0.36
Burnley,DF,Gls,4
Burnley,DF,Int,132
