League,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023,Rank_2024,Var_mode,Team,Season,Stat,Value,Value_Scaled
NL,24,6,16,13,26,30,19,13,10,pitching,ARI,2016,K.BB_p,2.19,0.151658768
NL,24,6,16,13,26,30,19,13,10,pitching,ARI,2016,HR.9_p,1.25,0.392523364
NL,24,6,16,13,26,30,19,13,10,pitching,ARI,2016,K._p,0.205,0.305785124
NL,24,6,16,13,26,30,19,13,10,pitching,ARI,2016,BB._p,0.094,0.625
NL,24,6,16,13,26,30,19,13,10,pitching,ARI,2016,WHIP_p,1.49,0.8
NL,24,6,16,13,26,30,19,13,10,pitching,ARI,2016,BABIP_p,0.32,0.752688172
NL,24,6,16,13,26,30,19,13,10,pitching,ARI,2016,LOB._p,0.687,0.246153846
NL,24,6,16,13,26,30,19,13,10,pitching,ARI,2016,ERA_p,5.09,0.750819672
NL,24,6,16,13,26,30,19,13,10,pitching,ARI,2016,xFIP_p,4.34,0.524064171
NL,24,6,16,13,26,30,19,13,10,pitching,ARI,2016,SIERA_p,4.3,0.581920904
NL,24,6,16,13,26,30,19,13,10,batting,ARI,2016,BB._b,0.074,0.215686275
NL,24,6,16,13,26,30,19,13,10,batting,ARI,2016,K._b,0.228,0.587155963
NL,24,6,16,13,26,30,19,13,10,batting,ARI,2016,AVG_b,0.261,0.7
NL,24,6,16,13,26,30,19,13,10,batting,ARI,2016,ISO_b,0.171,0.5
NL,24,6,16,13,26,30,19,13,10,batting,ARI,2016,Spd_b,5.9,0.971428571
NL,24,6,16,13,26,30,19,13,10,batting,ARI,2016,BABIP_b,0.315,0.804597701
NL,24,6,16,13,26,30,19,13,10,batting,ARI,2016,wGDP_b,-2.2,0.446808511
NL,24,6,16,13,26,30,19,13,10,batting,ARI,2016,XBR_b,4.2,0.617834395
NL,24,6,16,13,26,30,19,13,10,batting,ARI,2016,wOBA_b,0.321,0.563218391
NL,24,6,16,13,26,30,19,13,10,batting,ARI,2016,HR_b,190,0.54296875
NL,24,6,16,13,26,30,19,13,10,fielding,ARI,2016,rSZ_f,-7,0.344827586
NL,24,6,16,13,26,30,19,13,10,fielding,ARI,2016,rGDP_f,3,0.625
NL,24,6,16,13,26,30,19,13,10,fielding,ARI,2016,rARM_f,-20,0
NL,24,6,16,13,26,30,19,13,10,fielding,ARI,2016,DRS_f,-22,0.385892116
